Entrez Gene IDs	RSCE_10_BC2CTUACXX_AGTTCC_L006_R1.bam	RSCE_12_BC2CTUACXX_TGACCA_L005_R1.bam	RSCE_14_BC2CTUACXX_GTCCGC_L003_R1.bam	RSCE_16_BC2CTUACXX_AGTTCC_L004_R1.bam	RSCE_18_BC2CTUACXX_CAGATC_L003_R1.bam	RSCE_20_BC2CTUACXX_GTGAAA_L005_R1.bam	RSCE_2_BC2CTUACXX_CGATGT_L007_R1.bam	RSCE_4_BC2CTUACXX_TGACCA_L006_R1.bam	RSCE_6_BC2CTUACXX_CTTGTA_L005_R1.bam	RSCE_8_BC2CTUACXX_CCGTCC_L007_R1.bam
1	13	12	2	1	104	102	14	19	88	110
2	0	0	0	0	2	3	0	0	0	0
9	346	286	80	121	76	74	94	89	175	141
10	0	1	0	0	0	1	0	0	0	0
12	10	17	692	1215	2	2	26	91	11	6
13	1	0	0	0	0	0	164	172	9	2
14	1787	1796	841	1302	1920	1989	1569	1418	1951	2086
15	2	2	0	0	1	5	0	1	2	2
16	4123	3269	4551	5598	896	887	3742	2877	4123	3978
18	30	39	47	48	36	52	11	28	36	57
19	3001	2296	1171	891	752	655	470	743	2398	1598
20	254	217	376	524	171	187	276	275	268	291
21	165	153	610	795	33	54	351	305	748	832
22	1224	1059	246	314	361	377	667	562	949	896
23	2107	1531	1029	1370	1975	1907	1299	1033	2219	1884
24	13	10	71	137	15	13	2	3	9	4
25	1279	1189	1810	2423	1102	1252	1409	1514	1875	1954
26	2	5	101	220	0	0	0	0	2	1
27	5041	3659	1627	2638	3641	3879	913	788	3029	2786
28	0	0	7	17	0	0	0	0	0	0
29	1993	1693	747	952	483	494	1722	1098	1376	1279
30	461	407	131	173	372	364	326	310	577	581
31	3708	2899	830	1350	1976	1767	2329	2849	1866	1630
32	89	68	94	128	307	293	450	361	104	123
33	0	3	1	5	0	0	2	1	0	0
34	1280	1447	423	528	910	922	743	653	887	1048
35	146	124	70	132	139	117	173	195	112	138
36	198	179	142	199	105	119	503	405	590	642
37	5361	4894	1262	1973	5277	5533	3314	2825	5244	5283
38	1392	1456	667	879	1641	1812	1284	1290	2402	2450
39	1217	1294	401	723	1124	1203	951	747	753	780
40	1	1	7	4	13	11	29	18	1	1
41	12	18	12	10	38	35	68	55	36	34
43	10	8	1	1	2	1	10	7	18	17
47	12489	11163	2043	2560	6936	6971	13144	14228	5663	5923
48	1518	1457	3459	4098	1506	1789	945	1085	1361	1443
49	1	0	0	0	0	0	0	0	1	1
50	887	840	634	867	1439	1326	907	893	1683	1544
51	1171	1096	1188	1602	1314	1282	1421	1238	1242	1276
52	2083	1811	431	651	964	1148	2833	2634	1884	2001
53	181	160	387	515	296	312	303	252	508	439
54	134	113	16	25	1	1	1	1	339	231
55	5	5	80	132	1	1	0	1	72	69
56	1	0	1	1	2	1	0	0	4	3
58	3	3	2	2	4	4	6	2	10	9
59	6	11	43	84	7	7	74	96	46	85
60	81619	67559	58074	72399	74426	84910	58744	57377	107891	108257
70	0	0	3	0	318	304	2	1	0	1
71	79678	65587	35721	48574	33381	41129	82647	75409	41312	41867
72	8	7	3	2	5	5	9	7	23	27
81	9187	6898	5848	8433	7513	7906	16892	13788	6112	6152
86	2095	1855	1693	2525	2721	2946	1344	1180	2349	2278
87	5515	4665	5421	6880	2148	2990	4490	3990	10320	9982
88	0	0	0	0	0	1	0	0	1	1
89	4	2	3	4	2	6	7	4	3	6
90	276	242	352	435	383	378	250	239	308	276
91	493	508	284	449	288	289	439	371	536	529
92	221	170	194	300	868	1028	276	241	270	238
93	219	175	112	113	762	699	433	362	409	364
94	4	3	44	51	2	0	5	2	7	12
95	224	220	125	150	312	332	187	180	308	347
97	151	106	66	133	216	208	150	127	151	201
98	31	19	48	74	28	34	22	26	32	19
100	188	188	36	35	619	543	526	495	277	197
101	39	39	510	866	24	32	73	51	266	246
102	1889	1728	2327	2859	2429	2396	2823	2534	2360	2260
103	7477	5840	5642	8174	7565	7618	5699	5207	9790	9545
104	104	108	59	82	174	190	47	58	163	165
105	0	0	0	0	0	0	0	0	0	0
107	2	0	17	35	1	0	71	59	0	0
108	0	0	0	0	1	0	1	0	0	4
109	872	688	281	470	927	884	1081	897	859	821
111	0	0	0	0	4	5	12	14	0	1
112	165	127	329	526	587	643	621	556	277	300
